0;2;0
0;1;1
0;4;2
0;3;3
0;8;4
0;9;5
0;5;6
0;6;7
0;7;8
1;10;9
1;11;10
1;12;11
1;13;12
1;14;13
1;15;14
1;16;15
1;17;16
1;18;17
1;19;18
2;20;19
2;21;20
2;22;21
2;23;22
2;24;23
2;25;24
2;26;25
2;27;26
2;28;27
2;29;28
3;30;29
3;31;30
3;32;31
3;33;32
3;34;33
3;35;34
3;36;35
3;37;36
3;38;37
3;39;38
4;40;39
4;41;40
4;42;41
4;43;42
4;45;43
4;44;44
4;46;45
4;47;46
4;48;47
4;49;48
5;50;49
5;51;50
5;52;51
5;53;52
5;54;53
5;56;54
5;55;55
5;57;56
5;58;57
5;59;58
6;60;59
6;61;60
6;62;61
6;63;62
6;64;63
6;65;64
6;67;65
6;68;66
6;69;67
6;66;68
7;70;69
7;71;70
7;72;71
7;73;72
7;74;73
7;75;74
7;76;78
7;77;79
7;78;75
7;79;76
8;80;80
8;81;81
8;82;82
8;83;83
8;84;84
8;85;85
8;86;86
8;87;87
8;88;88
8;89;89
9;90;90
9;91;91
9;92;92
9;93;93
9;94;94
9;95;95
9;96;96
9;97;97
9;98;98
9;99;99
9;45;100
6;48;101
9;87;102
6;25;103
4;78;104
5;69;105
2;65;106
3;48;107
1;98;108
7;45;109
6;89;110
2;56;112
2;49;113
3;87;114
5;91;115
6;29;116
3;46;117
1;79;118
2;46;119
5;49;111
6;98;120
2;15;121
3;14;123
1;69;124
99;68;125
49;87;126
65;49;127
25;45;128
12;32;129
15;24;130
26;35;131
34;16;132
12;45;133
23;56;134
13;46;135
41;52;136
63;52;137
36;52;138
14;41;139
19;24;140
18;25;141
13;75;142
95;86;143
75;84;144
76;94;145
57;48;146
68;59;147
49;67;148
78;45;149
89;56;150
98;65;151
54;87;152
97;64;153
79;46;154
