0;2
0;1
0;4
0;3
0;8
0;9
0;5
0;6
0;7
1;10
1;11
1;12
1;13
1;14
1;15
1;16
1;17
1;18
1;19
2;20
2;21
2;22
2;23
2;24
2;25
2;26
2;27
2;28
2;29
3;30
3;31
3;32
3;33
3;34
3;35
3;36
3;37
3;38
3;39
4;40
4;41
4;42
4;43
4;45
4;44
4;46
4;47
4;48
4;49
5;50
5;51
5;52
5;53
5;54
5;56
5;55
5;57
5;58
5;59
6;60
6;61
6;62
6;63
6;64
6;65
6;67
6;68
6;69
6;66
7;70
7;71
7;72
7;73
7;74
7;75
7;76
7;77
7;78
7;79
8;80
8;81
8;82
8;83
8;84
8;85
8;86
8;87
8;88
8;89
9;90
9;91
9;92
9;93
9;94
9;95
9;96
9;97
9;98
9;99
9;45
6;48
9;87
6;25
4;78
5;69
2;65
3;48
1;98
7;45
6;89
2;56
2;49
3;87
5;91
6;29
3;46
1;79
2;46
5;49
6;98
2;15
3;14
1;69
99;68
49;87
65;49
25;45
12;32
15;24
26;35
34;16
12;45
23;56
13;46
41;52
63;52
36;52
14;41
19;24
18;25
13;75
95;86
75;84
76;94
57;48
68;59
49;67
78;45
89;56
98;65
54;87
97;64
79;46
